intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  DESE GROUND FLOOR
FROM   Thu Dec 14 2023|  TO Thu Dec 21 2023
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1702822200000,231,230,230,
1702822800000,231,230,231,
1702823400000,232,230,231,
1702824000000,231,230,230,
1702824600000,230,230,231,
1702825200000,231,230,230,
1702825800000,231,231,231,
1702826400000,231,230,230,
1702827000000,230,230,230,
1702827600000,231,230,230,
1702828200000,230,230,231,
1702828800000,231,231,231,
1702829400000,230,230,230,
1702830000000,231,230,230,
1702830600000,230,230,230,
1702831200000,232,230,231,
1702831800000,231,229,230,
1702832400000,231,229,230,
1702833000000,231,229,230,
1702833600000,231,230,231,
1702834200000,230,230,230,
1702834800000,231,230,231,
1702835400000,232,231,231,
1702836000000,231,230,230,
1702836600000,231,231,231,
1702837200000,230,230,231,
1702837800000,230,229,230,
1702838400000,231,230,230,
1702839000000,230,230,231,
1702839600000,231,230,230,
1702840200000,231,230,231,
1702840800000,230,230,230,
1702841400000,231,230,230,
1702842000000,231,231,231,
1702842600000,231,230,232,
1702843200000,230,230,231,
1702843800000,230,230,230,
1702844400000,231,229,230,
1702845000000,231,231,231,
1702845600000,232,231,232,
1702846200000,231,230,231,
1702846800000,230,230,231,
1702847400000,231,230,231,
1702848000000,231,230,231,
1702848600000,231,230,231,
1702849200000,231,231,231,
1702849800000,231,230,231,
1702850400000,230,231,230,
1702851000000,231,230,230,
1702851600000,230,230,230,
1702852200000,230,230,230,
1702852800000,231,230,230,
1702853400000,231,230,231,
1702854000000,231,230,231,
1702854600000,231,230,230,
1702855200000,230,230,230,
1702855800000,230,230,230,
1702856400000,230,230,230,
1702857000000,231,230,231,
1702857600000,230,230,230,
1702858200000,231,230,231,
1702858800000,231,230,231,
1702859400000,230,230,230,
1702860000000,231,229,230,
1702860600000,231,230,230,
1702861200000,231,230,230,
1702861800000,231,230,230,
1702862400000,231,230,230,
1702863000000,231,230,230,
1702863600000,231,230,231,
1702864200000,231,230,230,
1702864800000,231,230,230,
1702865400000,231,230,230,
1702866000000,231,230,230,
1702866600000,231,231,231,
1702867200000,230,230,231,
1702867800000,231,230,231,
1702868400000,232,230,230,
1702869000000,231,230,230,
1702869600000,231,230,230,
1702870200000,231,230,230,
1702870800000,231,230,231,
1702871400000,231,230,230,
1702872000000,231,230,230,
1702872600000,230,230,230,
1702873200000,231,230,230,
1702873800000,231,229,230,
1702874400000,231,230,230,
1702875000000,232,230,231,
1702875600000,231,230,230,
1702876200000,230,229,230,
1702876800000,231,229,230,
1702877400000,231,229,230,
1702878000000,230,229,230,
1702878600000,231,229,229,
1702879200000,231,229,230,
1702879800000,230,229,229,
1702880400000,230,229,229,
1702881000000,230,229,229,
1702881600000,232,230,230,
1702882200000,231,229,230,
1702882800000,230,229,229,
1702883400000,231,229,230,
1702884000000,231,229,229,
1702884600000,231,229,229,
1702885200000,231,229,230,
1702885800000,230,230,229,
1702886400000,230,229,229,
1702887000000,231,229,229,
1702887600000,231,229,229,
1702888200000,230,229,229,
1702888800000,230,229,229,
1702889400000,230,230,230,
1702890000000,230,229,229,
1702890600000,231,229,229,
1702891200000,230,229,229,
1702891800000,230,229,229,
1702892400000,231,229,229,
1702893000000,231,229,229,
